,index,from,to
1559,1054,yong,yeong
1560,1081,yong,yong
1561,1118,yong,yong
1562,1198,yong,yong
1563,1083,you,u
1564,1120,you,u
1565,1144,you,u
1566,1145,you,u
1567,1177,you,u
1568,1232,you,u
1569,1278,you,u
1570,1090,you,yu
1571,1091,you,yu
1572,1124,you,yu
1573,1149,you,yu
1574,1166,you,yu
1575,1167,you,yu
1576,1180,you,yu
1577,1205,you,yu
1578,1206,you,yu
1579,1259,you,yu
1580,922,yu,eo
1581,958,yu,eo
1582,980,yu,eo
1583,992,yu,eo
1584,1023,yu,eo
1585,1066,yu,o
1586,936,yu,og
1587,1034,yu,og
1588,1082,yu,u
1589,1119,yu,u
1590,1163,yu,u
1591,1187,yu,u
1592,1199,yu,u
1593,1254,yu,u
1594,1032,yu,ye
1595,1055,yu,ye
1596,927,yu,yeo
1597,960,yu,yeo
1598,1000,yu,yeo
1599,1026,yu,yeo
1600,1049,yu,yeo
1601,1073,yu,yeog
1602,1080,yu,yog
1603,1117,yu,yog
1604,1197,yu,yog
1605,1237,yu,yu
1606,1286,yu,yu
1607,1126,yu,yug
1608,1086,yuan,won
1609,1087,yuan,won
1610,1122,yuan,won
1611,1147,yuan,won
1612,1164,yuan,won
1613,1178,yuan,won
1614,1188,yuan,won
1615,1201,yuan,won
1616,1233,yuan,won
1617,1255,yuan,won
1618,1270,yuan,won
1619,1063,yuan,yeon
1620,1014,yue,ag
1621,940,yue,wal
1622,1088,yue,wol
1623,1202,yue,wol
1624,978,yue,yag
1625,963,yue,yeol
1626,1084,yun,un
1627,1121,yun,un
1628,1146,yun,un
1629,1200,yun,un
1630,1221,za,jab
1631,1112,zai,jae
1632,1174,zai,jae
1633,1185,zai,jae
1634,1194,zai,jae
1635,1225,zai,jae
1636,1248,zai,jae
1637,1265,zai,jae
1638,1426,zan,chan
1639,1455,zan,chan
1640,1262,zan,jam
1641,1246,zang,jang
1642,1289,zang,jang
1643,1339,zao,jo
1644,1364,zao,jo
1645,1443,zao,jo
1646,1326,ze,chaeg
1647,1505,ze,chig
1648,1577,ze,taeg
1649,1603,ze,taeg
1650,1290,zei,jeog
1651,1348,zeng,jeung
1652,1418,zeng,jeung
1653,1448,zeng,jeung
1654,829,zha,sa
1655,1458,zhai,chae
1656,1266,zhai,jeog
1657,1514,zhai,taeg
1658,1406,zhan,jeom
1659,1186,zhan,jeon
1660,1195,zhan,jeon
1661,1138,zhang,jang
1662,1222,zhang,jang
1663,1224,zhang,jang
1664,1245,zhang,jang
1665,1263,zhang,jang
1666,1275,zhang,jang
1667,1321,zhao,chag
1668,1549,zhao,cho
1669,1300,zhao,jo
1670,1401,zhao,jo
1671,1478,zhao,jo
1672,807,zhao,so
1673,837,zhao,so
1674,1434,zhe,cheol
1675,1172,zhe,ja
1676,1439,zhe,jeol
1677,1508,zhen,chim
1678,1639,zhen,chim
1679,1336,zhen,jeong
1680,1351,zhen,jin
1681,1421,zhen,jin
1682,1451,zhen,jin
1683,1471,zhen,jin
1684,1489,zhen,jin
1685,1113,zheng,jaeng
1686,1388,zheng,jeong
1687,1398,zheng,jeong
1688,1485,zheng,jeong
1689,1491,zheng,jeong
1690,1368,zheng,jeung
1691,1469,zheng,jeung
1692,1480,zheng,jeung
1693,1423,zheng,jing
1694,1504,zhi,chi
1695,1539,zhi,chi
1696,1565,zhi,chi
1697,1597,zhi,chi
1698,1632,zhi,chi
1699,1338,zhi,je
1700,1465,zhi,je
1701,1314,zhi,ji
1702,1349,zhi,ji
1703,1350,zhi,ji
1704,1369,zhi,ji
1705,1370,zhi,ji
1706,1382,zhi,ji
1707,1383,zhi,ji
1708,1394,zhi,ji
1709,1395,zhi,ji
1710,1403,zhi,ji
1711,1449,zhi,ji
1712,1470,zhi,ji
1713,1352,zhi,jib
1714,1316,zhi,jig
1715,1420,zhi,jig
1716,1450,zhi,jig
1717,1318,zhi,jil
1718,1422,zhi,jil
1719,1472,zhi,jil
1720,972,zhi,sig
1721,1537,zhong,chung
1722,1343,zhong,jong
1723,1365,zhong,jong
1724,1380,zhong,jong
1725,1311,zhong,jung
1726,1347,zhong,jung
1727,1367,zhong,jung
1728,1417,zhong,jung
1729,1346,zhou,ju
1730,1393,zhou,ju
1731,1415,zhou,ju
1732,1446,zhou,ju
1733,1479,zhou,ju
1734,1488,zhou,ju
1735,1591,zhu,chog
1736,1536,zhu,chug
1737,1616,zhu,chug
1738,1631,zhu,chug
1739,1299,zhu,je
1740,1114,zhu,jeo
1741,1140,zhu,jeo
1742,1301,zhu,jo
1743,1308,zhu,ju
1744,1345,zhu,ju
1745,1366,zhu,ju
1746,1381,zhu,ju
1747,1467,zhu,ju
1748,1494,zhu,ju
1749,1310,zhu,jug
1750,1229,zhuan,jeon
1751,1252,zhuan,jeon
1752,1184,zhuang,jang
1753,1264,zhuang,jang
1754,1274,zhuang,jang
1755,1282,zhuang,jang
1756,856,zhuang,sang
1757,1535,zhui,chu
1758,1416,zhun,jun
1759,1454,zhuo,chag
1760,1218,zhuo,jag
1761,1412,zhuo,jol
1762,1570,zhuo,tag
1763,1620,zhuo,tag
1764,1634,zhuo,tag
1765,1108,zi,ja
1766,1136,zi,ja
1767,1156,zi,ja
1768,1216,zi,ja
1769,1261,zi,ja
1770,1273,zi,ja
1771,1281,zi,ja
1772,1287,zi,ja
1773,1592,zong,chong
1774,1305,zong,jong
1775,1413,zong,jong
1776,1402,zou,ju
1777,1340,zu,jo
1778,1411,zu,jo
1779,1444,zu,jo
1780,1302,zu,jog
1781,1341,zu,jog
1782,1304,zu,jol
1783,1497,zui,choe
1784,1595,zui,chwi
1785,1307,zui,joe
1786,1342,zun,jon
1787,1468,zun,jun
1788,1109,zuo,jag
1789,1137,zuo,jag
1790,1306,zuo,jwa
1791,1344,zuo,jwa
1792,1414,zuo,jwa
1793,1445,zuo,jwa
